_score,rtype,label,link,term
6.0000033,influencer,*Emma_kate* @bff_maddie.emma,/bff_maddie.emma,bff
6.0000033,influencer,*Andjela* @bfftwins00,/bfftwins00,bff
6.0000033,influencer,* Ill* @bffghjug,/bffghjug,bff
4.000003,influencer,*thereefatsg* @thereefatsg,/thereefatsg,bfg
4.000003,influencer,*JORDAN READ* @jordsread,/jordsread,bfg
1.000003,influencer,*oaklist* @oaklist,/oaklist,bfg
6.000004,influencer,*gbxfg* @bfhf,/bfhf,bfh
6.000004,influencer,*chuvan* @bfheroes797,/bfheroes797,bfh
6.0000033,influencer,*Jonny* @bfhjvfr133,/bfhjvfr133,bfh
11.000003,influencer,*bfields* @bfields,/bfields,bfi
6.000003,influencer,*Bradley* @bfisch1,/bfisch1,bfi
6.000003,influencer,,/bfittness23,bfi
3.0000033,influencer,,/smithmolly40,bfi
3.000003,influencer,*Telisha* @blessedwithtwins,/blessedwithtwins,bfi
3.000003,influencer,,/vicolsfamily,bfj
3.000003,influencer,*Rosse Peralta* @rossetipss,/rossetipss,bfj
3.0000036,influencer,*luanafnogueira* @luanafnogueira,/luanafnogueira,bfl
3.0000033,influencer,*amymariesowerby* @amymsowerby,/amymsowerby,bfl
1.0000031,influencer,,/king_j.x,bfl
1.000003,influencer,*Pamela Jean Noble* @pamelajeannoble,/pamelajeannoble,bfm
1.0000031,influencer,,/lisa.mukwevho,bfn
6.0000033,influencer,*B I P I N. S E N* @bforbipin,/bforbipin,bfo
3.0000033,influencer,*eatfromscratch101* @eatfromscratch101,/eatfromscratch101,bfo
6.0000033,influencer,*Brian Mcneil Jr* @bfrmthebull,/bfrmthebull,bfr
3.0000033,influencer,*Lipstick Lifestyle* @lisafortuin,/lisafortuin,bfr
1.000003,influencer,*juanirizarry* @juanirizarry,/juanirizarry,bfr
1.0000037,influencer,*B&F /3D CG VFX* @bf.studio,/bf.studio,bfs
6.0000033,influencer,*Brian Furbush* @bfurbush,/bfurbush,bfu
4.0000033,influencer,*Unique Sunset* @uniquesunset8,/uniquesunset8,bfu
3.0000036,influencer,*_textosdovictor_* @_textosdovictor_,/_textosdovictor_,bfu
3.0000029,influencer,*lifeandmars* @lifeandmars,/lifeandmars,bfu
3.0000026,influencer,,/bekasummer,bfu
6.000004,influencer,*Mansa Muas* @bfvmansamusa630,/bfvmansamusa630,bfv
1.000003,influencer,*Chika Holly Katchi-Maduka* @breakforth_queen,/breakforth_queen,bfw
1.0000031,influencer,*kantakone* @kantakone,/kantakone,bfy
1.000003,influencer,*criticaliy* @criticaliy,/criticaliy,bfy
3.0000033,influencer,*BURAK KING* @burak.fitness,/burak.fitness,bfz
3.0000026,influencer,,/harumynakanishi,bga
1.000003,influencer,*FireBeatrice* @firelighting,/firelighting,bga
14.000003,influencer,*Giovanna/ BGB Designs* @bgb_designs,/bgb_designs,bgb
6.000003,influencer,*BY FLOOD* @bgb53213,/bgb53213,bgb
6.000003,influencer,*FRFR* @bgbgbg,/bgbgbg,bgb
3.000003,influencer,*Brunnie Rosario* @beautysince1993,/beautysince1993,bgb
1.000003,influencer,*Brendan Brown* @mrbgb,/mrbgb,bgb
11.000003,influencer,*bgdfans* @bgdfans,/bgdfans,bgd
11.000003,influencer,*bgdancericloud.com* @bgdancericloud.com,/bgdancericloud.com,bgd
6.0000033,influencer,*Brandy Gomez-Duplessis* @bgdmakeupartist,/bgdmakeupartist,bgd
3.000003,influencer,,/iwillgetlean,bgd
1.0000037,influencer,*liesbethjove* @liesbethjove,/liesbethjove,bgg
1.0000027,influencer,*Angela Fry* @thetripletfarm,/thetripletfarm,bgg
15.000003,influencer,*bgirlshortyrocc* @bgirlshortyrocc,/bgirlshortyrocc,bgi
11.000003,influencer,*bgirl_aga* @bgirl_aga,/bgirl_aga,bgi
3.0000033,influencer,*Boss Gals In Stilettos Network* @bossgalsnetwork,/bossgalsnetwork,bgi
11.000003,influencer,*BGlamsham* @bglamsham,/bglamsham,bgl
3.0000036,influencer,*LELASIMONE* @lelasiimone,/lelasiimone,bgl
1.0000033,influencer,*CutSlim Keto* @cutslimketo,/cutslimketo,bgl
4.000003,influencer,*Sumeet Sokhey* @sumeet_sokhey,/sumeet_sokhey,bgm
1.0000031,influencer,,/raul.garcia.g,bgm
1.000003,influencer,*mxrcy_beast* @mxrcy_beast,/mxrcy_beast,bgm
1.000003,influencer,*Helena Tzioti* @helenaplaysgames,/helenaplaysgames,bgn
6.000003,influencer,,/bgotthebag,bgo
3.0000029,influencer,,/emilyhafley,bgo
1.0000027,influencer,*Shay Sane* @blackgirltravelmovement,/blackgirltravelmovement,bgo
1.000003,influencer,*Hollie Burgess* @hollieplus,/hollieplus,bgp
11.000004,influencer,*BGQN* @bgqn,/bgqn,bgq
3.0000033,influencer,*littlemissfoodie* @littlemissfoodie,/littlemissfoodie,bgq
9.000003,influencer,*Bryant Gray Jr.* @bgray_2x,/bgray_2x,bgr
1.0000032,influencer,*Board Game Revolution* @boardgamerevolution,/boardgamerevolution,bgr
1.0000027,influencer,,/auliaf08_,bgr
6.000004,influencer,*Benjamin Grimus* @bgseakk,/bgseakk,bgs
1.0000037,influencer,*VNGST* @_ymhf_,/_ymhf_,bgs
1.000003,influencer,*Benjamin Gordon Palm Beach* @benjamingordon635,/benjamingordon635,bgs
1.000003,influencer,,/alyssaanell,bgs
1.000003,influencer,*denanissavirta* @denanissavirta,/denanissavirta,bgt
6.0000033,influencer,*Barry* @bguzelordu,/bguzelordu,bgu
6.0000033,influencer,,/bgyarmati,bgy
6.000003,influencer,*Hyd* @bgyhv2018,/bgyhv2018,bgy
3.0000029,influencer,*hcpspots* @hcpspots,/hcpspots,bgy
3.0000029,influencer,*ALAN RAMIREZ* @alanramirezart,/alanramirezart,bgy
1.0000037,influencer,*BlackGirlYoga * @blackgirlyoga,/blackgirlyoga,bgy
15.000003,influencer,*Bhaskar Gautam * @bhaskargautam,/bhaskargautam,bha
15.000003,influencer,,/bhangrabychristine,bha
15.000003,influencer,*Bharat* @bharat_patel61,/bharat_patel61,bha
15.000003,influencer,*Bharatendu Munda* @bharat._09,/bharat._09,bha
15.000003,influencer,*Bharat sahu* @bharat_sahu7,/bharat_sahu7,bha
14.000003,influencer,*BHB Mods* @bhbmods,/bhbmods,bhb
13.000004,influencer,*Slim MD Keto BHB* @slim.md.keto.bhb,/slim.md.keto.bhb,bhb
13.000004,influencer,*Slim MD    Keto BHB* @slimmdketobhb,/slimmdketobhb,bhb
13.000004,influencer,*https://www.thefitnesssupplement.com/recommends-keto-total-bhb* @ketototalbhbformula,/ketototalbhbformula,bhb
13.000004,influencer,*A1 Keto BHB Offer* @a1ketobhboffer,/a1ketobhboffer,bhb
11.000003,influencer,*bhch ioko* @bhchioko,/bhchioko,bhc
3.0000033,influencer,,/matti_balu,bhc
3.000003,influencer,*sohaib__al* @sohaib__al,/sohaib__al,bhc
5.0000033,influencer,*Swap Illusion Sdn Bhd 1138754U* @swapwatchmalaysia,/swapwatchmalaysia,bhd
15.000003,influencer,*Bheema Dagla* @bheemadagla,/bheemadagla,bhe
11.000003,influencer,*Bheru* @bherulal.arcagte,/bherulal.arcagte,bhe
6.0000033,influencer,*Brooke Hennon* @bhennon,/bhennon,bhe
6.000003,influencer,*brittanyyy.rene* @bheatttt10,/bheatttt10,bhe
6.0000033,influencer,*nahid* @bhgh,/bhgh,bhg
1.0000037,influencer,*Carla Jordan* @carlajordan_writer,/carlajordan_writer,bhg
1.000003,influencer,*Judy Eichner* @judysjunktion,/judysjunktion,bhg
1.000003,influencer,*Cecilia Moyer* @ceciliamoyer,/ceciliamoyer,bhg
6.0000033,influencer,,/bhh_clothingline,bhh
4.0000033,influencer,*sohag * @sohagroyuuu889,/sohagroyuuu889,bhh
1.0000037,influencer,,/orsellsvegas,bhh
15.000003,influencer,*Bhima* @bhima.siwa,/bhima.siwa,bhi
11.000003,influencer,*bhils02* @bhils02,/bhils02,bhi
6.0000033,influencer,*Abhinav Sharma* @bhinav.dx_1429,/bhinav.dx_1429,bhi
6.000003,influencer,*Tet* @bhjyu,/bhjyu,bhj
6.0000033,influencer,*Woodogauri* @bhk2022,/bhk2022,bhk
6.000003,influencer,*Milganmuna* @bhk,/bhk,bhk
3.000003,influencer,*Best Health Keto UK* @besthealthketoukpils,/besthealthketoukpils,bhk
1.0000033,influencer,*Best Health Keto* @cynthiaseir,/cynthiaseir,bhk
3.000003,influencer,*Beatriz Hauman * @beatrizhauman,/beatrizhauman,bhm
6.000003,influencer,*BH na Moda* @bhnamodaa,/bhnamodaa,bhn
3.0000033,influencer,,/emmikovalainen,bhn
11.000003,influencer,*Bhoma* @bhoma,/bhoma,bho
11.000003,influencer,*Bhong Ravara* @bhong_ravs,/bhong_ravs,bho
11.000003,influencer,*bhojicinema* @bhojicinema,/bhojicinema,bho
11.000003,influencer,*BhookadByNature* @bhookadbynature,/bhookadbynature,bho
11.000003,influencer,*BhoomiGanesh* @bhoomiganesh,/bhoomiganesh,bho
11.000003,influencer,*Bhoomika sharma* @bhoomikauk08,/bhoomikauk08,bho
11.000003,influencer,*bhpt* @bhpt,/bhpt,bhp
6.0000033,influencer,*Buy Here Pay Here Chicago* @bhphdealershipchicago,/bhphdealershipchicago,bhp
1.0000032,influencer,*Nutroxyn Male Enhancement* @nutroxynmaleenhancement,/nutroxynmaleenhancement,bhq
1.0000027,influencer,*Stacey Registre * @s.xox23,/s.xox23,bhr
4.0000033,influencer,*Katie B* @k8tbeee,/k8tbeee,bhs
1.0000032,influencer,,/jocelynblon_,bhs
1.0000032,influencer,,/official_.pariis,bhs
3.0000033,influencer,*Anis Al Rahman* @the_brown_indian_skull,/the_brown_indian_skull,bht
3.000003,influencer,,/madizoul,bht
15.000004,influencer,*Bhumi_agrawal* @bhumi_agrawal_143,/bhumi_agrawal_143,bhu
12.000004,influencer,,/bhumygor,bhu
12.000003,influencer,*Bhutan LUX* @bhutanlux,/bhutanlux,bhu
11.000004,influencer,*bhushan* @bhushan,/bhushan,bhu
11.000004,influencer,*Bhuvi* @bhuvi,/bhuvi,bhu
11.000004,influencer,*bhumigupta* @bhumigupta,/bhumigupta,bhu
1.000003,influencer,*Mika Newton* @mikanewton,/mikanewton,bhv
3.000003,influencer,,/docteurspeedy,bhx
3.0000026,influencer,*Pulane * @pulanem_,/pulanem_,bhx
15.000004,influencer,*Bianchka* @bianchka,/bianchka,bia
15.000003,influencer,*Bianca* @bianca_redatoraux,/bianca_redatoraux,bia
15.000003,influencer,*Bianca F.* @biancavs,/biancavs,bia
15.000003,influencer,*Bias Check-In Podcast* @biascheckin_podcast,/biascheckin_podcast,bia
14.000004,influencer,*Bianca Dimas* @bia_ruivaa,/bia_ruivaa,bia
14.000004,influencer,*Bias Widodo* @biaswidodo,/biaswidodo,bia
14.000003,influencer,*Bianca Viegas* @biancaviegas,/biancaviegas,bia
14.000003,influencer,,/bianca.m.k,bia
15.000004,influencer,*Bibi Diamond* @bibi_diamond.official,/bibi_diamond.official,bib
14.000004,influencer,*Bibbi Deg* @bibbideg,/bibbideg,bib
14.000004,influencer,*Bibi Wayne* @bibiwayne,/bibiwayne,bib
19.000004,influencer,*Bicycle Travellers* @bicycletravellers,/bicycletravellers,bic
14.000003,influencer,*bicoastalbeat* @bicoastalbite,/bicoastalbite,bic
12.000003,influencer,*bicisconti.it* @bicisconti.it,/bicisconti.it,bic
11.000003,influencer,*BID ANTOR* @bidantor,/bidantor,bid
11.000003,influencer,*Abbas Mudrik Bidemi * @bidemimudrik,/bidemimudrik,bid
19.000004,influencer,*Bien Zenker* @bienzenker,/bienzenker,bie
14.000003,influencer,*Bierkultur-/test* @bier_kultur,/bier_kultur,bie
11.000004,influencer,*Biet thu Ocean Park* @bietthuoceanpark,/bietthuoceanpark,bie
11.000003,influencer,*bielefoto* @bielefoto,/bielefoto,bie
15.000003,influencer,*Biff The Samoyed* @biffthesamoyed,/biffthesamoyed,bif
11.000003,influencer,*Biffa Plays* @biffaplays,/biffaplays,bif
6.000004,influencer,*Ben Ovi* @biffxll,/biffxll,bif
6.000003,influencer,*Trystan Reese* @biffandi,/biffandi,bif
6.000003,influencer,*Bia Camargo* @bifreires,/bifreires,bif
19.000004,influencer,*Big State Electricians-Plano* @bigstateelectricians,/bigstateelectricians,big
19.000004,influencer,*Big Full Lashes (100% LEGIT) Scam or Legit! * @bigfulllashes,/bigfulllashes,big
19.000004,influencer,*Big TV Screens* @bigtvscreens,/bigtvscreens,big
19.000004,influencer,*Big Dave's Termite & Pest Control* @bigdavespestcontrol,/bigdavespestcontrol,big
18.000004,influencer,,/bigolivecodes2022,big
14.000004,influencer,*Bih Ramos* @bihramos,/bihramos,bih
7.000003,influencer,*Amit* @biharisinghamit,/biharisinghamit,bih
6.000003,influencer,*NAHOMY GALEANO* @bhad._.bihho_o,/bhad._.bihho_o,bih
6.000003,influencer,,/bihhthats_.drew,bih
14.000003,influencer,*biizarre* @biizarre,/biizarre,bii
14.000003,influencer,*Biju Toha* @bijutoha,/bijutoha,bij
11.000003,influencer,*Bijoux Enor* @bijoux_enor,/bijoux_enor,bij
11.000003,influencer,*bijoynsu* @bijoynsu,/bijoynsu,bij
19.000004,influencer,*Bikaner Blog/Insta Bikaner* @bikanercityblog,/bikanercityblog,bik
15.000004,influencer,*Bikini Mama's Swimwear* @bikinimamas,/bikinimamas,bik
19.000004,influencer,*Bilal* @bilalkazi,/bilalkazi,bil
19.000004,influencer,*Billie Eilish Keto* @billieeilishketo,/billieeilishketo,bil
14.000003,influencer,*bimdivva* @bimdivafashion,/bimdivafashion,bim
12.000004,influencer,*BIMBI LOVE* @bimbi_love,/bimbi_love,bim
19.000004,influencer,*BinanceToll Free Number||1(888)-214-5472|| login contact helpline Number | Binance US Customer Service Number* @binancetollfreenumber,/binancetollfreenumber,bin
19.000004,influencer,,/binanceuscustomerservicenumber,bin
19.000004,influencer,*Binomo Ar* @binomoar,/binomoar,bin
19.000004,influencer,*Bingo News* @bingonews,/bingonews,bin
19.000004,influencer,*Binance Customer Service||347-860-9941|| Phone Number | Binance Customer Service Number Binance Helpline Number USA* @binancecustomersupportservice,/binancecustomersupportservice,bin
19.000004,influencer,*Binance US Customer Care Number||1(8O6)-436-4OO2|| login contact helpline Number | Binance US Customer Service Number* @binanceuscustomercarenumber,/binanceuscustomercarenumber,bin
19.000004,influencer,*Binance Customer Care Number US||1(888)-214-5472|| login contact helpline Number | Binance US Customer Service Number* @binancecustomercarenumberus,/binancecustomercarenumberus,bin
19.000004,influencer,,/binanceuscustomerservice,bin
19.000004,influencer,*Biographytalk* @biographytalk,/biographytalk,bio
19.000004,influencer,*BioSlim Keto* @bioslimketo,/bioslimketo,bio
19.000004,influencer,*Bioboost Keto Ultra BHB* @bioboostketoultrabhb,/bioboostketoultrabhb,bio
19.000004,influencer,*Biogrowth Male Enhancement* @biogrowth54,/biogrowth54,bio
14.000003,influencer,*#bipolargirlfriend* @bipolar_girlfriend_,/bipolar_girlfriend_,bip
11.000003,influencer,*bipul* @bipul,/bipul,bip
11.000003,influencer,*Bipul Mazumder* @bipul2772,/bipul2772,bip
11.000003,influencer,*Bipin Rajan* @bipinrajan,/bipinrajan,bip
11.000003,influencer,*bipasha singh* @bipaashaaa,/bipaashaaa,bip
11.000003,influencer,*Biplav Sarkar* @biplav,/biplav,bip
3.000003,influencer,*Bunny Vee* @bunny_vee,/bunny_vee,biq
1.000003,influencer,,/tatahfavero,biq
19.000004,influencer,*Birla Tisya* @birlatisyabangalore,/birlatisyabangalore,bir
18.000004,influencer,,/birteko,bir
15.000004,influencer,*Birdwatching Global* @birdwatching_global,/birdwatching_global,bir
19.000004,influencer,*Bisnisman Indo* @bisnisman.1897,/bisnisman.1897,bis
15.000004,influencer,*biswarup chakraborty* @biswarup_chakraborty1988,/biswarup_chakraborty1988,bis
14.000003,influencer,*Biscuits & Burlap* @biscuitsandburlap,/biscuitsandburlap,bis
19.000004,influencer,*BitBuy cusTOmer servicE Number +1.[8O6]-436-{4OO2} BitBuy cusTOmer support Number* @bitbuycustomerservicehelp,/bitbuycustomerservicehelp,bit
19.000004,influencer,*Bitcoin Wallet Customer Service||347-860-9941|| Phone Number | Bitcoin Wallet Customer Service Number Bitcoin Wallet Helpline Number USA* @bitcoinwalletsupportus,/bitcoinwalletsupportus,bit
19.000004,influencer,*bitcoin87* @bitcoin87,/bitcoin87,bit
19.000004,influencer,*bitcoin809* @bitcoin809,/bitcoin809,bit
19.000004,influencer,,/bitcoincashcustomerservice,bit
19.000004,influencer,,/bitcoinwalletcustomerservices,bit
19.000004,influencer,*bitcion87* @bitcion87,/bitcion87,bit
19.000004,influencer,,/bitbuycustomerservicenumber,bit
19.000004,influencer,*BitBuy Customer Service||347-860-9941|| Phone Number | BitBuy Customer Service Number BitBuy Helpline Number USA* @bitbuycustomersupportnumber,/bitbuycustomersupportnumber,bit
14.000004,influencer,*Buhalteris - Biuro reikmenys* @biuroreikmenys.lt,/biuroreikmenys.lt,biu
6.0000033,influencer,*hfridaozj* @biubuz,/biubuz,biu
4.0000033,influencer,*cococai413* @cococai413,/cococai413,biu
11.000003,influencer,*Bivens* @bivens41,/bivens41,biv
1.000003,influencer,*Glucofort Sverige* @glucofortsverigese,/glucofortsverigese,biv
1.000003,influencer,,/markpainofficial,biv
1.0000027,influencer,*Robert Grew Photography* @robert_grew_photography,/robert_grew_photography,biv
6.000003,influencer,*Amit Biwaal* @amitbiwaal,/amitbiwaal,biw
5.0000033,influencer,*Digital Biwi* @dipal,/dipal,biw
5.000003,influencer,*Mansi Biwal* @mansi.biwal,/mansi.biwal,biw
3.0000033,influencer,,/the_boy_you_crave_for,biw
3.0000029,influencer,,/andrea.ometto,biw
3.0000026,influencer,,/sluttyback,biw
1.0000032,influencer,*NateDaGreat | CEO Of ADHD* @nyx.nate,/nyx.nate,biw
11.000003,influencer,*BIXIE* @bixie.eu,/bixie.eu,bix
1.0000032,influencer,*paxtoncarter* @nbk_paxto,/nbk_paxto,bix
12.000003,influencer,*Biyaya* @biyayamontgomery,/biyayamontgomery,biy
11.000003,influencer,*Biyah Chaudhary * @biyah.ch,/biyah.ch,biy
6.000003,influencer,*Tamia Biya* @tamiabiya,/tamiabiya,biy
6.000003,influencer,*Bhuvaneshwari* @biya,/biya,biy
5.0000033,influencer,*Biyi Tudors* @thebiyitudors,/thebiyitudors,biy
5.0000033,influencer,*gula biya* @gulabiya,/gulabiya,biy
5.0000033,influencer,*Jo Biyani* @theweddedmilennial,/theweddedmilennial,biy
19.000004,influencer,*Biz Kidz* @bizkidz,/bizkidz,biz
15.000003,influencer,*Bizzy* @bizzy.life,/bizzy.life,biz
12.000003,influencer,*bizinapp* @bizinapp,/bizinapp,biz
12.000003,influencer,*Bizzy Brown* @bizzybrownduh,/bizzybrownduh,biz
11.000003,influencer,*bjay_1k* @bjay_1k,/bjay_1k,bja
11.000003,influencer,*bjarnstrom* @bjarnstrom,/bjarnstrom,bja
6.000003,influencer,*Brittany jakosh* @bjakosh16,/bjakosh16,bja
6.000003,influencer,*jan muhammad* @bjan03893,/bjan03893,bja
3.000003,influencer,*b.jamhk* @b.jamhk,/b.jamhk,bja
6.000003,influencer,*Jonah Cockshaw* @bjcfit,/bjcfit,bjc
6.0000033,influencer,*Brandon Jackson* @bjdagoodkid,/bjdagoodkid,bjd
11.000004,influencer,*Nikola Bjelica* @bjelica279,/bjelica279,bje
6.000004,influencer,*Nyia Medlock* @bjeanell23,/bjeanell23,bje
3.0000033,influencer,*r  e  e  s* @reesiibabe,/reesiibabe,bje
3.000003,influencer,*Alex Gayoso* @alexgayoso_,/alexgayoso_,bje
1.0000032,influencer,*Fu Lulu* @fu5056,/fu5056,bje
1.0000033,influencer,*aadiz_imran_official* @aadiz_imran_official,/aadiz_imran_official,bjg
1.000003,influencer,*Rian Ball* @rianball123,/rianball123,bjh
11.000003,influencer,*BJJ PILLS* @bjjpills,/bjjpills,bjj
4.0000033,influencer,*Toby Jacketts* @tobyjacketts,/tobyjacketts,bjj
4.0000033,influencer,*Michael Baidoo* @bay_jitsu,/bay_jitsu,bjj
4.0000033,influencer,*Bradley Wells* @bradley1legmma.life,/bradley1legmma.life,bjj
3.000003,influencer,*Jess Fernandopulle* @jess.fernandopulle,/jess.fernandopulle,bjj
3.0000029,influencer,*Aditi Patel* @aditi1099,/aditi1099,bjj
1.0000037,influencer,"*Wanki ""The Beast"" Chae* @beastwanki",/beastwanki,bjj
6.0000033,influencer,*Fui* @bjkj,/bjkj,bjk
6.0000033,influencer,,/bjkzey,bjk
3.0000033,influencer,*Dolly* @chillystudio,/chillystudio,bjk
14.000003,influencer,*bjluxury* @bjluxury,/bjluxury,bjl
11.000003,influencer,*bjm2208* @bjm2215,/bjm2215,bjm
6.000003,influencer,*Brandon Morrison Jr.* @bjmorrison,/bjmorrison,bjm
4.000004,influencer,*farzana* @fazanainfluence.co,/fazanainfluence.co,bjn
14.000003,influencer,*YouTuber bjorniboy98* @bjorni98,/bjorni98,bjo
11.000003,influencer,*Bjorn* @bjorndewulf,/bjorndewulf,bjo
4.0000033,influencer,*Rituparna Deka* @ritudeka408,/ritudeka408,bjp
3.000003,influencer,*Carmen Rubio Grayeb.* @carmenrubio.g,/carmenrubio.g,bjp
1.0000033,influencer,,/kubetgamevip,bjp
1.0000031,influencer,*Jaey Gajera* @jaeygajera,/jaeygajera,bjp
3.000003,influencer,,/loveynfriends,bjs
